,title,desc,site
0,"""History Used To Be Written Through Stories. But In 21st Century..."": PM Modi",bookmark_border,NDTV
1,"Narendra Modi to launch NCC alumni association, become its first member on 19 November in Jhansi",bookmark_border,Firstpost
2,PM Narendra Modi targets Congress over plight of tribals,bookmark_border,Deccan Herald
3,PM Narendra Modi to address inaugural session of Presiding Officers' Conference tomorrow,bookmark_border,Moneycontrol
4,"PM Modi arrives in Delhi after Italy, UK visit",bookmark_border,Hindustan Times
5,Birsa Munda Jayanti to be observed like Gandhi Jayanti: PM Narendra Modi,bookmark_border,Times of India
6,‘Now I can cherish that picture for my entire life’: CWG Gold medalist retrieves his old picture with PM Modi with the help of a tweet,bookmark_border,OpIndia
7,Narendra Modi appreciates US Congress role in heightening India-US ties,bookmark_border,Firstpost
8,PM Modi Chairs Key Meeting Over Future Of Cryptocurrency In India: Here's What You Should Know,bookmark_border,Swarajya
9,PM Modi's Address Highlights | PM urges people to follow COVID-appropriate behaviour during festive season,bookmark_border,Moneycontrol
10,PM Narendra Modi to address the nation at 10 am today,bookmark_border,Economic Times
11,"Mamata Banerjee likely to visit Delhi next week; meet PM Modi over dues, increased BSF jurisdiction",bookmark_border,Firstpost
12,PM Modi pays homage to Mahatma Gandhi at Piazza Gandhi in Rome | Updates,bookmark_border,India Today
13,"Void in history and culture after Babasaheb Purandare, says PM Narendra Modi",bookmark_border,Times of India
14,PM Narendra Modi to inaugurate meeting of National presiding officers in Shimla on November 17,bookmark_border,Free Press Journal
15,Chirag shares his picture with PM Narendra Modi,bookmark_border,Times of India
16,PM Narendra Modi to reach Uttarakhand at 6:30am on Friday,bookmark_border,Times of India
17,Why India's Narendra Modi Is Suddenly Everywhere,bookmark_border,Foreign Policy
18,UK PM Boris Johnson applauds PM Narendra Modi`s climate goals at COP26,bookmark_border,Zee News
19,Narendra Modi in Varanasi Highlights: PM Modi launches Ayushman Bharat Health Infra Mission in Varanasi,bookmark_border,The Indian Express
20,PM Narendra Modi lauds India`s shift to digital transactions,bookmark_border,Zee News
21,"Your strength ensures peace, security: PM Modi to soldiers in J&K's Nowshera on Diwali",bookmark_border,India Today
22,Prime minister Narendra Modi to lay foundation stone of 600 MW solar park in Jhansi,bookmark_border,pv magazine India
